altitude_km,active,derelict,debris
200,0,0,1
251.428571428571,0,0,3
302.857142857143,0,1,5
354.285714285714,0,2,10
405.714285714286,0,4,21
457.142857142857,0,7,47
508.571428571429,0,21,94
560,0,35,187
611.428571428571,0,35,348
662.857142857143,0,57,623
714.285714285714,0,67,1031
765.714285714286,0,141,1431
817.142857142857,0,81,1820
868.571428571429,0,49,1833
920,0,73,1788
971.428571428571,0,186,1560
1022.85714285714,0,21,1239
1074.28571428571,0,39,970
1125.71428571429,0,15,856
1177.14285714286,0,21,714
1228.57142857143,0,4,665
1280,0,6,724
1331.42857142857,0,10,505
1382.85714285714,0,35,464
1434.28571428571,0,289,436
1485.71428571429,0,226,544
1537.14285714286,0,48,585
1588.57142857143,0,17,569
1640,0,14,705
1691.42857142857,0,14,621
1742.85714285714,0,6,373
1794.28571428571,0,3,273
1845.71428571429,0,1,206
1897.14285714286,0,5,177
1948.57142857143,0,1,154
2000,0,4,141
