day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14040,1420,1825,8447,0,0
15,14039,1420,1825,8446,0,0
20,14039,1420,1825,8446,0,0
25,14038,1420,1825,8445,0,0
30,14037,1420,1825,8444,0,0
35,14037,1420,1825,8443,0,0
40,14034,1420,1825,8442,0,0
45,14034,1420,1825,8442,0,0
50,14032,1418,1825,8442,0,0
55,14032,1418,1825,8442,0,0
60,14031,1418,1825,8442,0,0
65,14031,1418,1825,8442,0,0
70,14031,1418,1825,8442,0,0
75,14030,1418,1825,8441,0,0
80,14030,1418,1825,8441,0,0
85,14029,1418,1825,8441,0,0
90,14029,1418,1824,8441,0,0
95,14027,1418,1824,8441,0,0
100,14027,1418,1823,8441,0,0
105,14025,1418,1823,8440,0,0
110,14025,1418,1822,8440,0,0
115,14023,1418,1822,8440,0,0
120,14022,1417,1822,8440,0,0
125,14019,1417,1822,8439,0,0
130,14016,1415,1822,8439,0,0
135,14016,1415,1822,8438,0,0
140,14011,1411,1822,8438,0,0
145,14011,1411,1822,8438,0,0
150,14008,1410,1822,8438,0,0
155,14007,1410,1822,8438,0,0
160,14007,1410,1822,8438,0,0
165,14007,1410,1821,8438,0,0
170,14005,1409,1821,8438,0,0
175,14005,1409,1821,8438,0,0
180,14004,1409,1821,8438,0,0
185,14004,1409,1821,8438,0,0
190,14003,1409,1821,8438,0,0
195,14003,1409,1821,8438,0,0
200,14002,1409,1821,8438,0,0
205,14002,1409,1821,8438,0,0
210,13992,1400,1821,8437,0,0
215,13992,1400,1821,8437,0,0
220,13990,1399,1821,8437,0,0
225,13990,1399,1821,8437,0,0
230,13990,1399,1820,8437,0,0
235,13989,1399,1820,8437,0,0
240,13988,1399,1820,8437,0,0
245,13988,1399,1819,8437,0,0
250,13988,1399,1819,8437,0,0
255,13987,1399,1819,8437,0,0
260,13981,1393,1818,8437,0,0
265,13980,1393,1818,8437,0,0
270,13980,1393,1818,8436,0,0
275,13978,1393,1817,8436,0,0
280,13975,1392,1817,8436,0,0
285,13975,1392,1817,8436,0,0
290,13974,1390,1818,8436,0,0
295,13974,1390,1818,8436,0,0
300,13974,1390,1817,8436,0,0
305,13973,1390,1816,8436,0,0
310,13972,1390,1816,8436,0,0
315,13972,1390,1814,8436,0,0
320,13970,1390,1813,8436,0,0
325,13969,1390,1812,8436,0,0
330,13964,1385,1812,8435,0,0
335,13962,1385,1812,8435,0,0
340,13961,1384,1812,8435,0,0
345,13961,1384,1812,8435,0,0
350,13960,1383,1812,8435,0,0
355,13960,1383,1808,8435,0,0
360,13954,1382,1808,8435,0,0
365,13954,1382,1808,8435,0,0
370,13954,1382,1808,8435,0,0
375,13954,1382,1808,8435,0,0
380,13951,1379,1808,8435,0,0
385,13951,1379,1808,8435,0,0
390,13951,1379,1808,8435,0,0
395,13951,1379,1807,8435,0,0
400,13950,1379,1807,8435,0,0
405,13950,1379,1807,8435,0,0
410,13943,1372,1807,8435,0,0
415,13943,1372,1807,8435,0,0
420,13942,1372,1807,8435,0,0
